Sample_id,GSM803665,GSM803666,GSM803667,GSM803668,GSM803669,GSM803670,GSM803671,GSM803672,GSM803723,GSM803724,GSM803725,GSM803726,GSM803727,GSM803728,GSM803729,GSM803730,GSM803781,GSM803782,GSM803783,GSM803784,GSM803785,GSM803786,GSM803787,GSM102682,GSM102683
1007_s_at,8,8,10,9,7,9,9,8,9,8,10,9,7,9,9,8,9,9,10,9,9,9,7,701,509
1053_at,8,9,9,9,8,9,8,7,9,9,9,9,7,9,8,8,8,9,9,9,9,8,8,198,132
117_at,5,6,6,6,5,5,5,6,5,6,6,6,6,5,5,5,5,5,6,5,5,5,5,104,64
121_at,7,7,8,7,7,8,7,7,7,7,8,7,7,8,7,7,7,7,8,7,7,7,7,164,175
1255_g_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17,5
1294_at,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,7,6,6,6,6,179,103
1316_at,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,44,19
1320_at,6,5,5,6,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,46,62
1405_i_at,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,116,25
1431_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,75,86
1438_at,6,5,6,5,5,5,6,6,5,5,6,6,5,5,5,6,5,5,6,6,5,5,7,131,114
1487_at,8,8,7,7,7,8,8,7,8,8,7,7,7,8,8,8,8,8,7,7,8,7,7,190,146
1494_f_at,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,38,32
1552256_a_at,7,10,10,10,9,10,9,9,8,10,10,10,9,10,9,11,8,10,10,10,11,9,11,343,247
1552257_a_at,8,8,8,8,9,9,8,8,9,9,8,8,9,9,8,8,8,9,8,8,9,8,8,400,353
1552258_at,4,4,4,4,4,4,4,4,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4,75,28
1552261_at,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,48,16
1552263_at,5,5,5,4,7,5,5,5,5,6,5,3,7,5,5,5,4,5,5,3,5,5,5,86,71
1552264_a_at,8,9,8,7,9,8,8,8,7,8,8,7,8,8,8,8,7,8,8,7,8,8,8,110,104
1552266_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,29,18
1552269_at,4,3,3,4,4,3,4,5,4,3,3,4,3,4,3,4,4,3,4,3,4,3,4,3,1
1552271_at,6,5,5,6,5,6,5,6,6,5,5,6,5,6,5,6,6,5,5,6,6,5,6,4,6
1552272_a_at,5,5,5,5,5,5,5,5,5,5,5,6,5,6,5,5,5,5,5,6,6,6,5,35,35
1552274_at,7,8,7,7,7,7,6,8,7,8,7,7,7,6,6,8,6,6,6,7,6,6,7,134,62
1552275_s_at,6,8,6,7,7,6,6,8,6,7,6,7,6,6,6,7,6,6,5,7,5,5,7,123,67
1552276_a_at,5,6,6,5,6,6,6,6,5,6,6,6,5,6,6,6,5,5,6,6,6,6,5,9,35
1552277_a_at,11,9,9,9,9,9,8,8,11,9,9,9,9,9,8,9,10,10,9,9,9,8,8,140,88
1552278_a_at,4,4,4,4,4,5,4,4,4,4,4,5,4,5,4,4,4,4,4,5,5,4,4,16,4
1552279_a_at,6,6,6,6,6,7,6,6,6,6,6,6,6,7,6,6,6,6,6,6,7,6,6,100,47
1552280_at,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,23,3
1552281_at,7,6,7,7,6,7,6,6,7,6,6,7,6,6,6,7,7,6,6,6,7,6,7,9,32
1552283_s_at,4,4,5,4,5,7,5,4,4,4,5,4,6,7,5,4,4,4,5,4,7,6,4,424,166
1552286_at,6,6,6,6,7,6,7,6,6,5,6,7,7,6,7,6,6,5,6,6,6,7,5,82,55
1552287_s_at,5,7,7,6,5,6,6,5,6,7,7,7,6,6,6,5,7,8,7,7,6,7,6,198,144
1552288_at,4,4,4,4,3,4,4,4,4,4,5,4,4,3,4,4,4,3,5,3,4,3,3,23,15
