"","logFC","logCPM","LR","PValue","FDR"
"AFFX-r2-P1-cre-3_at",-8.99857030764698,9.26914793647767,2969.65213867769,0,0
"1569410_at",-8.68750889878235,9.02198324526586,3152.58974207322,0,0
"AFFX-r2-P1-cre-5_at",-8.5816912250178,8.94313985474364,2705.20100447778,0,0
"209351_at",-8.57595685887967,9.083199000807,3320.24158634398,0,0
"215076_s_at",-8.53037942823184,9.11884187228321,12961.8380561995,0,0
"230835_at",-8.42957290714907,8.90435390484609,2409.21037021984,0,0
"AFFX-CreX-5_at",-8.36364470507723,8.75337626638152,2769.99954058509,0,0
"211161_s_at",-8.23038870491022,8.61776953077279,3210.82620823361,0,0
"AFFX-CreX-3_at",-8.18266789807937,8.91885494405742,2728.94152370796,0,0
"202404_s_at",-8.17824724259468,8.68762533381576,3180.95060812878,0,0
"205900_at",-8.17385509708357,9.07972195545262,3758.23068214188,0,0
"1553946_at",-8.10238776983741,8.90428984018854,1967.30410404456,0,0
"211597_s_at",-8.06688384862746,8.56725924133993,1975.40102927816,0,0
"1556499_s_at",-8.04567889881858,8.78781328463214,14431.1421615297,0,0
"201667_at",-8.00241660884286,8.50817153817418,2581.18292120701,0,0
"215704_at",-7.98489798055654,8.55286209488082,2038.30117488065,0,0
"201852_x_at",-7.92609731073117,8.63040875673051,2837.20742619573,0,0
"202403_s_at",-7.85137953564691,8.92708587166814,6122.37644953442,0,0
"206400_at",-7.82326501407802,8.70348372806356,2390.21352407407,0,0
"201427_s_at",-7.73780929406392,8.41147108920475,11897.3764825574,0,0
"202310_s_at",-7.72180196383358,8.73761704156638,2614.82377324702,0,0
"218002_s_at",-7.69764846622652,8.53837517697125,8142.7513703385,0,0
"33323_r_at",-7.67077132886417,8.86463715111369,3883.26003321346,0,0
"222484_s_at",-7.62007880588845,8.5554577103033,3599.67885927308,0,0
"39248_at",-7.55680036000427,8.30936622549075,5890.25391948629,0,0
"201893_x_at",-7.54064785632143,8.79259011034582,27193.2763307852,0,0
"200606_at",-7.54016050857972,8.69832976095792,4057.59945517872,0,0
"AFFX-r2-Ec-bioD-3_at",-7.53829427640489,8.11517096936434,1751.71781956156,0,0
"211896_s_at",-7.52067355301637,8.55927745951617,5524.5826685042,0,0
"207324_s_at",-7.36123087305558,8.07015940778988,2508.34235608172,0,0
